Reference,Habitat,Habitat2,Habitat_Type,Species,Species2,Response_Type_Communication-Behavior-Reproduction-Physiology,Song_Frequency_Low_Hz,Song_Frequency_High_Hz,Song_Loudness_low_dB,Song_Loudness_high_dB,Distance_meters_avg,Distance_meters,Independent_Variable_Standardized,Independent_Variable_more,Dependent_Variable,Dependent_Variable_Final,Sample_size_n, Effect size_numerical value,Mean,Standard_deviation,Standard_Error,High_Confidence_Interval,Low_Confidence_Interval (CI),R-square,t-value,Cohens d value_equations,"Effect Size Type - cohens_d
hedges_g
r
log_odds_ratio

or others....",Cohens d value
"Dowling JL, Luther DA, Marra PP. 2012. Behavioral Ecology",Urban to rural gradient in Washington DCâ€“Baltimore metropolitan area,Urban to rural gradient,Mixed,Gray Catbird (Dumetella carolinensis),Catbird,Communication,1377,7398,NA,NA,400,Recordings within 400 m radius of site center,Noise,"Ambient noise level (dB), % impervious surface",Song bout duration during SUN (s),Song Frequency/Duration,8,0.97,NA,NA,NA,NA,NA,0.97,NA,11.37248141,R²,11.37248141
"Khadraoui M, Toews DPL. 2015. The Wilson Journal of Ornithology 127(4):739-746",Highly urbanized setting,Urban city,Urban,Northwestern Crow (Corvus caurinus),Crow,Behavior,NA,NA,NA,NA,5000,"Near Burnaby Lake Sports Complex West, <5 km from traffic monitoring station",Environmental,Sunrise time,Discrimination Ratio,Effect on Bird,58,0.98,11.6,NA,NA,NA,NA,0.98,-3.1,14,R²,14
"Long AM et al. 2017. Ecology and Evolution, 7:379-389",Urban warbler habitat,Woodland,Urban,Golden-cheeked warbler (Setophaga chrysoparia),Warbler,Behavior,3965,5295,NA,NA,400,≤400 m from highways,Environmental,"Distance, Site and treatment phase",Note duration (seconds),Song Frequency/Duration,450,9.81,NA,NA,NA,NA,NA,NA,NA,19.62,F,19.62
"Muñoz-Santos I, Ríos-Chelén AA. 2022. acta ethologica",Urban park (Chapultepec forest),Urban green spaces,Urban,Vermilion Flycatcher (Pyrocephalus rubinus),Flycatcher,Communication,2923,NA,NA,NA,10,10 m (playback speaker to bird); 5 m (microphone to bird),Noise,Ambient noise coefficient of variation,Fledging success,Song Frequency/Duration,27,38.4,6.3,NA,"0.47 (pre-SUN), 0.31 (SUN), 0.48 (post-SUN)",NA,NA,NA,NA,76.8,F,76.8
"Nordt A, Klenke R (2013) PLoS ONE 8(8): e71476",Urban to semi-natural gradient,Urban to rural gradient,Urban,European Blackbird (Turdus merula),Blackbird,Communication,NA,NA,NA,NA,10,10 m (song post identification),Environmental,"Noise, Lamp density, Habitat, Cloud cover, Temperature, Julian date",Female sexual responsiveness (CSD),Song Frequency/Duration,597,192.3,5.31,NA,NA,NA,NA,NA,NA,384.6,F,384.6
"Senzaki, M., et al. Nature, Vol 587, 26 November 2020, 605–609",Closed habitats,Closed habitats,Mixed,Multiple (22 species),Multiple,Reproduction,NA,NA,NA,NA,NA,NA,Noise,"Anthropic night lighting, latitude, human population density, impervious surface",Start time of dawn chorus (minutes relative to sunrise),Effect on Bird,4980,NA,NA,NA,NA,NA,NA,,-1.995,-0.0567,,-0.0567
da Luz Mathias et al. 2021. Urban Ecosystems,Rural,Rural,Rural,Greater white-toothed shrew (Crocidura russula),,Behavior,NA,NA,NA,NA,NA,Experimental arena (50x50x30 cm),Noise,Habitat (urban vs. rural),Territory Density,Effect on Bird,16,-1.41,2.31,0.52,0.13,NA,NA,NA,NA,-1.41,Cohen’s d,-1.41
da Luz Mathias et al. 2021. Urban Ecosystems,Rural,Rural,Rural,Greater white-toothed shrew (Crocidura russula),,Behavior,NA,NA,NA,NA,NA,Experimental arena (50x50x30 cm),Noise,Habitat (urban vs. rural),Territory Density,Effect on Bird,16,-1.426,926.87,211.36,52.84,NA,NA,NA,NA,-1.426,Cohen’s d,-1.426
da Luz Mathias et al. 2021. Urban Ecosystems,Rural,Rural,Rural,Greater white-toothed shrew (Crocidura russula),,Behavior,NA,NA,NA,NA,NA,Experimental arena (50x50x30 cm),Noise,Habitat (urban vs. rural),Territory Density,Effect on Bird,16,-2.52,45.12,9.36,2.34,NA,NA,NA,NA,-2.52,Cohen’s d,-2.52
"Senzaki, M., et al. Nature, Vol 587, 26 November 2020, 605–609",Closed habitats,Closed habitats,Mixed,Multiple (22 species),Multiple,Reproduction,NA,NA,NA,NA,NA,NA,Noise,"Anthropic night lighting, latitude, human population density, impervious surface",Start time of dawn chorus (minutes relative to sunrise),Effect on Bird,4980,NA,NA,NA,NA,NA,NA,,1.709,.0481,,.0481
"Brancaccio-Pérez E, Ortiz-Pulido R. 2024. The Wilson Journal of Ornithology 136(2):254-261",Urban environment,Urban green spaces,Urban,"Hummingbird community (White-eared, Broad-billed, Blue-throated, Magnificent)",Hummingbird,Behavior,NA,NA,NA,NA,15,"Feeders 15 m apart, speakers 15 m from feeders",Noise,"Site, hour, environmental dB, treatment-site interaction",Number of hummingbird visits per 10 minutes,Abundance,15,-0.25,5.73,0.66,NA,NA,NA,NA,NA,.7077,,.7077
"Brancaccio-Pérez E, Ortiz-Pulido R. 2024. The Wilson Journal of Ornithology 136(2):254-261",Urban environment,Urban green spaces,Urban,"Hummingbird community (White-eared, Broad-billed, Blue-throated, Magnificent)",Hummingbird,Behavior,NA,NA,NA,NA,15,"Feeders 15 m apart, speakers 15 m from feeders",Control,Hummingbird feeder alone,First Group (Time of first group of two or more crow vocalizations),Abundance,45,0.00,7.84,0.5,NA,NA,NA,NA,NA,0,,0
"Francis CD, Ortega CP, Cruz A. 2011. Vocal frequency change reflects different responses to anthropogenic noise in two suboscine tyrant flycatchers. Proceedings: Biological Sciences, 278(1714), 2025-2031",Pinon-juniper woodlands,Woodland,Rural,Ash-throated flycatcher (Myiarchus cinerascens),flycatcher,Communication,1000,4000,NA,NA,10,5-15 m (recording distance),Control,,Abundance/Richness,Song Frequency/Duration,125,0,0.49,NA,NA,NA,NA,NA,NA,0,% of occurence,0
"Francis CD, Ortega CP, Cruz A. 2011. Vocal frequency change reflects different responses to anthropogenic noise in two suboscine tyrant flycatchers. Proceedings: Biological Sciences, 278(1714), 2025-2031",Pinon-juniper woodlands,Woodland,Rural,Grey flycatcher (Empidonax wrightii),flycatcher,Communication,1500,7000,NA,NA,10,5-15 m (recording distance),Control,,Abundance/Richness,Song Frequency/Duration,NA,0,0.68,NA,NA,NA,NA,NA,NA,0,% of occurence,0
Parris & Schneider 2009 - Impacts of Traffic Noise on Birds of Roadside Habitats,"Roadside habitats on the Mornington Peninsula, southeastern Australia",Road,Urban,Grey Fantail (Rhipidura fuliginosa),Fantail,Communication,4350,7500,NA,NA,NA,NA,Control,,Abundance/Richness,Song Frequency/Duration,22,NA,4352,53,NA,4258,4456,NA,NA,0,Frequency Shift,0
"Brancaccio-Pérez E, Ortiz-Pulido R. 2024. The Wilson Journal of Ornithology 136(2):254-261",Urban environment,Urban green spaces,Urban,"Hummingbird community (White-eared, Broad-billed, Blue-throated, Magnificent)",Hummingbird,Behavior,NA,NA,NA,NA,15,"Feeders 15 m apart, speakers 15 m from feeders",Noise,"Site, hour, environmental dB, treatment-site interaction",Number of hummingbird visits per 10 minutes,Abundance,15,-0.50,4.47,0.72,NA,NA,NA,NA,NA,1.09,,1.09
"Brancaccio-Pérez E, Ortiz-Pulido R. 2024. The Wilson Journal of Ornithology 136(2):254-261",Urban environment,Urban green spaces,Urban,"Hummingbird community (White-eared, Broad-billed, Blue-throated, Magnificent)",Hummingbird,Behavior,NA,NA,NA,NA,15,"Feeders 15 m apart, speakers 15 m from feeders",Noise,"Site, hour, environmental dB, treatment-site interaction",Number of hummingbird visits per 10 minutes,Abundance,15,-0.50,4,0.67,NA,NA,NA,NA,NA,1.28,,1.28
da Luz Mathias et al. 2021. Urban Ecosystems,Urban,Urban city,Urban,Greater white-toothed shrew (Crocidura russula),,Behavior,NA,NA,NA,NA,NA,Experimental arena (50x50x30 cm),Noise,Habitat (urban vs. rural),Territory Density,Effect on Bird,16,1.41,1.7,0.32,0.08,NA,NA,NA,NA,1.41,Cohen’s d,1.41
da Luz Mathias et al. 2021. Urban Ecosystems,Urban,Urban city,Urban,Greater white-toothed shrew (Crocidura russula),,Behavior,NA,NA,NA,NA,NA,Experimental arena (50x50x30 cm),Noise,Habitat (urban vs. rural),Territory Density,Effect on Bird,16,1.426,1241.49,229.36,57.34,NA,NA,NA,NA,1.426,Cohen’s d,1.426
da Luz Mathias et al. 2021. Urban Ecosystems,Urban,Urban city,Urban,Greater white-toothed shrew (Crocidura russula),,Behavior,NA,NA,NA,NA,NA,Experimental arena (50x50x30 cm),Noise,Habitat (urban vs. rural),Territory Density,Effect on Bird,16,2.52,71.46,11.44,2.86,NA,NA,NA,NA,2.52,Cohen’s d,2.52
Perillo et al. 2017. Ibis,Urban parks,Urban green spaces,Urban,All bird species (community-level),Multiple,Behavior,NA,NA,NA,NA,NA,NA,Noise,"Surrounding open area (%), population density, income, tree cover (%), constructed area (%)",Number of birds approaching speaker,Abundance,40,-0.99,NA,NA,NA,NA,NA,0.743,NA,NA,R²,NA
"Proppe DS, Sturdy CB, St. Clair CC. 2013. Global Change Biology",Urban green spaces and transportation greenbelts,Urban green spaces,Urban,Least Flycatcher (Empidonax minimus),Flycatcher,Behavior,1500 ,7000 ,NA,NA,300,>300 m between points,Noise,,Number of birds approaching speaker,Abundance,113,-1.24,NA,NA,0.28,-1.67,-0.55,NA,-4.45,NA,Beta coefficient,NA
"Proppe DS, Sturdy CB, St. Clair CC. 2013. Global Change Biology",Urban green spaces and transportation greenbelts,Urban green spaces,Urban,Multiple species,Multiple,Behavior,NA,NA,NA,NA,300,>300 m between points,Noise,,Number of birds approaching the platform,Abundance,113,-1.22,NA,NA,0.3,-1.80,-0.64,NA,-4.1,NA,Beta coefficient,NA
"Proppe DS, Sturdy CB, St. Clair CC. 2013. Global Change Biology",Urban green spaces and transportation greenbelts,Urban green spaces,Urban,Species richness,Multiple,Behavior,NA,NA,NA,NA,NA,NA,Noise,Multiple,Approach Latency,Abundance,113,-1.22,NA,NA,0.3,-0.64,-1.8,NA,NA,NA,Beta coefficient,NA
"Proppe DS, Sturdy CB, St. Clair CC. 2013. Global Change Biology",Urban green spaces and transportation greenbelts,Urban green spaces,Urban,Species richness,Multiple,Behavior,NA,NA,NA,NA,NA,NA,Environmental,Multiple,Behavioral changes/response,Abundance,113,1.19,NA,NA,0.47,2.11,0.27,NA,NA,NA,Beta coefficient,NA
"Proppe DS, Sturdy CB, St. Clair CC. 2013. Global Change Biology",Urban green spaces and transportation greenbelts,Urban green spaces,Urban,Species richness,Multiple,Behavior,NA,NA,NA,NA,NA,NA,Environmental,Multiple,Behavioral changes/response,Abundance,113,-1.16,NA,NA,0.38,-0.42,-1.9,NA,NA,NA,Beta coefficient,NA
"Proppe DS, Sturdy CB, St. Clair CC. 2013. Global Change Biology",Urban green spaces and transportation greenbelts,Urban green spaces,Urban,Least flycatcher,Flycatcher,Behavior,NA,NA,NA,NA,NA,NA,Environmental,Multiple,Area of arable land (ARABLE_LAND),Abundance,113,-1.24,NA,NA,0.28,-0.7,-1.79,NA,NA,NA,Beta coefficient,NA
"Proppe DS, Sturdy CB, St. Clair CC. 2013. Global Change Biology",Urban green spaces and transportation greenbelts,Urban green spaces,Urban,Least flycatcher,Flycatcher,Behavior,NA,NA,NA,NA,NA,NA,Environmental,Multiple,Habitat diversity index (HABITAT_DIVERSITY),Abundance,113,1.24,NA,NA,0.29,1.8,0.67,NA,NA,NA,Beta coefficient,NA
"Proppe DS, Sturdy CB, St. Clair CC. 2013. Global Change Biology",Urban green spaces and transportation greenbelts,Urban green spaces,Urban,Least flycatcher,Flycatcher,Behavior,NA,NA,NA,NA,NA,NA,Noise,Multiple,Nocturnal noise emission (NOISE),Abundance,113,-1.11,NA,NA,0.28,-0.55,-1.67,NA,NA,NA,Beta coefficient,NA
"Proppe DS, Sturdy CB, St. Clair CC. 2013. Global Change Biology",Urban green spaces and transportation greenbelts,Urban green spaces,Urban,Least flycatcher,Flycatcher,Behavior,NA,NA,NA,NA,NA,NA,Environmental,Multiple,Probability of occurrence,Abundance,113,1.04,NA,NA,0.22,1.48,0.6,NA,NA,NA,Beta coefficient,NA
"Francis CD, Ortega CP, Cruz A. 2011. Vocal frequency change reflects different responses to anthropogenic noise in two suboscine tyrant flycatchers. Proceedings: Biological Sciences, 278(1714), 2025-2031",Pinon-juniper woodlands,Woodland,Rural,Grey flycatcher (Empidonax wrightii),Flycatcher,Communication,1500,7000,NA,NA,10,5-15 m (recording distance),Noise,,Duration,Environment,NA,15.958,0.52,NA,NA,NA,NA,NA,NA,NA,χ²,NA
"Ozkan K, Langley JM, Talbott JW, Kleist NJ, Francis CD. 2024. PeerJ 12:e18558",Rangelands and oak woodlands,Woodland,Rural,Western Bluebird (Sialia mexicana),Bluebird,Behavior,NA,NA,NA,NA,12.5,10-15 m from speaker to nest,Noise,,Song minimum frequency (Hz),Noise,24,1.70,NA,NA,0.49,0.82,2.80,NA,NA,NA,Beta coefficient,NA
"Ozkan K, Langley JM, Talbott JW, Kleist NJ, Francis CD. 2024. PeerJ 12:e18558",Remote area with gas well compressors,Woodland,Rural,Western Bluebird (Sialia mexicana),Bluebird,Behavior,NA,NA,NA,NA,125,75-175 m from gas well pads,Noise,,Frequency,Noise,13,-19.39,443.85,269.76,7.96,-36.90,-1.87,0.29,NA,NA,Beta coefficient,NA
"Dowling JL, Luther DA, Marra PP. 2012. Behavioral Ecology",Urban to rural gradient in Washington DCâ€“Baltimore metropolitan area,Urban to rural gradient,Mixed,Carolina Wren (Thryothorus ludovicianus),Wren,Communication,1671,5260,NA,NA,400,Recordings within 400 m radius of site center,Noise,"Ambient noise level (dB), % impervious surface",Agression rate,Song Frequency/Duration,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,R²,NA
"Dowling JL, Luther DA, Marra PP. 2012. Behavioral Ecology",Urban to rural gradient in Washington DCâ€“Baltimore metropolitan area,Urban to rural gradient,Mixed,Carolina Wren (Thryothorus ludovicianus),Wren,Communication,1671,5260,NA,NA,400,Recordings within 400 m radius of site center,Noise,"Ambient noise level (dB), % impervious surface",Song Rates,Song Frequency/Duration,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,R²,NA
"Dowling JL, Luther DA, Marra PP. 2012. Behavioral Ecology",Urban to rural gradient in Washington DCâ€“Baltimore metropolitan area,Urban to rural gradient,Mixed,House Wren (Troglodytes aedon),Wren,Communication,1892,7195,NA,NA,400,Recordings within 400 m radius of site center,Noise,"Ambient noise level (dB), % impervious surface",Song Frequency,Song Frequency/Duration,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,R²,NA
"Dowling JL, Luther DA, Marra PP. 2012. Behavioral Ecology",Urban to rural gradient in Washington DCâ€“Baltimore metropolitan area,Urban to rural gradient,Mixed,House Wren (Troglodytes aedon),Wren,Communication,1892,7195,NA,NA,400,Recordings within 400 m radius of site center,Noise,"Ambient noise level (dB), % impervious surface",Frequency,Song Frequency/Duration,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,R²,NA
"Walters MJ, Guralnick RP, Kleist NJ, Robinson SK. 2019. The Condor","Urban environments in Gainesville, Florida",Urban green spaces,Urban,Northern Mockingbird (Mimus polyglottos),Mockingbird,Communication,NA,NA,NA,NA,15,15 m,Noise,"Perching height, Time of day",Abundance/Richness,Song Frequency/Duration,22,70.89,NA,NA,NA,38.42,103.35,0.29,NA,NA,Beta coefficient,NA
"Walters MJ, Guralnick RP, Kleist NJ, Robinson SK. 2019. The Condor","Urban environments in Gainesville, Florida",Urban green spaces,Urban,Northern Mockingbird (Mimus polyglottos),Mockingbird,Communication,NA,NA,NA,NA,15,15 m,Noise,"Perching height, Time of day",Abundance/Richness,Song Frequency/Duration,22,61.15,NA,NA,NA,22.77,99.53,NA,NA,NA,Beta coefficient,NA
"Walters MJ, Guralnick RP, Kleist NJ, Robinson SK. 2019. The Condor","Urban environments in Gainesville, Florida",Urban green spaces,Urban,Northern Mockingbird (Mimus polyglottos),Mockingbird,Communication,NA,NA,NA,NA,15,15 m,Noise,"Perching height, Time of day",Abundance/Richness,Song Frequency/Duration,22,68.31,NA,NA,NA,-74.78,211.41,NA,NA,NA,Beta coefficient,NA
"Walters MJ, Guralnick RP, Kleist NJ, Robinson SK. 2019. The Condor","Urban environments in Gainesville, Florida",Urban green spaces,Urban,Northern Mockingbird (Mimus polyglottos),Mockingbird,Communication,NA,NA,NA,NA,15,15 m,Noise,"Perching height, Time of day",Abundance/Richness,Song Frequency/Duration,22,9.014,NA,NA,NA,-133.84,151.87,NA,NA,NA,Beta coefficient,NA
"Van Donselaar et al., Urban Ecosystems (2018) 21:1043-1051","Urban to rural gradient in Kent County, Michigan",Urban to rural gradient,Mixed,Black-capped chickadee (Poecile atricapillus),chickadee,Behavior,NA,NA,NA,NA,1000,Feeder stations separated by >1 km,Environmental,Treatment (Pre-stim/Cat),Abundance/Richness,,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,Beta coefficient,NA
"Van Donselaar et al., Urban Ecosystems (2018) 21:1043-1051","Urban to rural gradient in Kent County, Michigan",Urban to rural gradient,Mixed,Black-capped chickadee (Poecile atricapillus),chickadee,Behavior,NA,NA,NA,NA,1000,Feeder stations separated by >1 km,Environmental,,Abundance/Richness,,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,Beta coefficient,NA
"Van Donselaar et al., Urban Ecosystems (2018) 21:1043-1051","Urban to rural gradient in Kent County, Michigan",Urban to rural gradient,Mixed,Black-capped chickadee (Poecile atricapillus),chickadee,Behavior,NA,NA,NA,NA,1000,Feeder stations separated by >1 km,Environmental,,Abundance/Richness,,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,Beta coefficient,NA
"Van Donselaar et al., Urban Ecosystems (2018) 21:1043-1051","Urban to rural gradient in Kent County, Michigan",Urban to rural gradient,Mixed,Black-capped chickadee (Poecile atricapillus),chickadee,Behavior,NA,NA,NA,NA,1000,Feeder stations separated by >1 km,Environmental,,Abundance/Richness,,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,Beta coefficient,NA
"Van Donselaar et al., Urban Ecosystems (2018) 21:1043-1051","Urban to rural gradient in Kent County, Michigan",Urban to rural gradient,Mixed,Black-capped chickadee (Poecile atricapillus),chickadee,Behavior,NA,NA,NA,NA,1000,Feeder stations separated by >1 km,Environmental,,Abundance/Richness,,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,Beta coefficient,NA
"Blickley et al., 2012",Sagebrush steppe,Rural,Rural,Greater Sage-Grouse (Centrocercus urophasianus),Grouse,Behavior,2000,NA,70,NA,400,"Noise played at leks, measured 400m from source",Noise,Noise type (drilling vs. road),Peak male attendance,Abundance,16,-29%,NA,NA,2%,NA,NA,NA,NA,Pooled,Linear Mixed-Effects Models,Pooled
"Blickley et al., 2012",Sagebrush steppe,Rural,Rural,Greater Sage-Grouse (Centrocercus urophasianus),Grouse,Behavior,2000,NA,70,NA,400,"Noise played at leks, measured 400m from source",Noise,Noise type (drilling vs. road),Peak male attendance,Abundance,16,-73%,NA,NA,10%,NA,NA,NA,NA,Pooled,Linear Mixed-Effects Models,Pooled
"Blickley et al., 2012",Sagebrush steppe,Rural,Rural,Greater Sage-Grouse (Centrocercus urophasianus),Grouse,Behavior,2000,NA,70,NA,400,"Noise played at leks, measured 400m from source",Noise,Post-experiment effects,Peak male attendance,Abundance,12,-30%,NA,NA,NA,NA,NA,NA,NA,Pooled,Linear Mixed-Effects Models,Pooled
"Blickley et al., 2012",Sagebrush steppe,Rural,Rural,Greater Sage-Grouse (Centrocercus urophasianus),Grouse,Behavior,2000,NA,70,NA,400,"Noise played at leks, measured 400m from source",Noise,Female attendance,Peak female attendance,Abundance,8,-48%,NA,NA,10%,NA,NA,NA,NA,Pooled,Linear Mixed-Effects Models,Pooled
"Halfwerk W, Holleman LJM, Lessells CM, Slabbekoorn H. 2011. Journal of Applied Ecology",Mixed woodland near motorway,Woodland,Mixed,Great tit (Parus major),Tit,Reproduction,2000,9000,NA,NA,NA,NA,Environmental,"Distance, tree density, tree diameter, % deciduous trees",Number of birds approaching the platform,Abundance,505,NA,,NA,0.02,NA,NA,0.5,NA,Pooled,Parameter estimate (B),Pooled
"Halfwerk W, Holleman LJM, Lessells CM, Slabbekoorn H. 2011. Journal of Applied Ecology",Mixed woodland near motorway,Woodland,Mixed,Great tit (Parus major),Tit,Reproduction,2000,9000,NA,NA,NA,NA,Environmental,"Distance, tree density, tree diameter, % deciduous trees",Number of birds approaching the platform,Abundance,505,NA,,NA,0.02,NA,NA,0.5,NA,Pooled,Parameter estimate (B),Pooled
"Halfwerk W, Holleman LJM, Lessells CM, Slabbekoorn H. 2011. Journal of Applied Ecology",Mixed woodland near motorway,Woodland,Mixed,Great tit (Parus major),Tit,Reproduction,2000,9000,NA,NA,NA,NA,Environmental,"Distance, tree density, tree diameter, % deciduous trees",Number of birds approaching the platform,Abundance,470,NA,,NA,0.027,NA,NA,0.07,NA,Pooled,Parameter estimate (B),Pooled
"Halfwerk W, Holleman LJM, Lessells CM, Slabbekoorn H. 2011. Journal of Applied Ecology",Mixed woodland near motorway,Woodland,Mixed,Great tit (Parus major),Tit,Reproduction,2000,9000,NA,NA,NA,NA,Environmental,"Distance, tree density, tree diameter, % deciduous trees",Number of birds approaching the platform,Abundance,470,NA,,NA,0.029,NA,NA,0.09,NA,Pooled,Parameter estimate (B),Pooled
"Halfwerk W, Holleman LJM, Lessells CM, Slabbekoorn H. 2011. Journal of Applied Ecology",Mixed woodland near motorway,Woodland,Mixed,Great tit (Parus major),Tit,Reproduction,2000,9000,NA,NA,NA,NA,Environmental,"Distance, tree density, tree diameter, % deciduous trees",Approach Latency,Abundance,387,NA,,NA,0.019,NA,NA,0.08,NA,Pooled,Parameter estimate (B),Pooled
"Halfwerk W, Holleman LJM, Lessells CM, Slabbekoorn H. 2011. Journal of Applied Ecology",Mixed woodland near motorway,Woodland,Mixed,Great tit (Parus major),Tit,Reproduction,2000,9000,NA,NA,NA,NA,Environmental,"Distance, tree density, tree diameter, % deciduous trees",Approach Latency,Abundance,387,NA,,NA,0.019,NA,NA,0.55,NA,Pooled,Parameter estimate (B),Pooled
Redondo I et al. 2021. Eur J Wildl Res 67:68,Urban vs. rural,Urban to rural gradient,Mixed,Tree sparrow (Passer montanus),Sparrow,Physiology,NA,NA,NA,NA,NA,Nest boxes,Noise,Air pollution,Abundance,Effect on Bird,15,NA,,NA,0.89,NA,NA,,NA,Pooled,Estimate,Pooled
Redondo I et al. 2021. Eur J Wildl Res 67:68,Urban vs. rural,Urban to rural gradient,Mixed,Tree sparrow (Passer montanus),Sparrow,Physiology,NA,NA,NA,NA,NA,Nest boxes,Noise,Air pollution,Species richness,Effect on Bird,17,NA,,NA,0.07,NA,NA,,NA,Pooled,Estimate,Pooled
"Halfwerk W, Holleman LJM, Lessells CM, Slabbekoorn H. 2011. Journal of Applied Ecology",Mixed woodland near motorway,Woodland,Mixed,Great tit (Parus major),Tit,Reproduction,2000,9000,NA,NA,NA,NA,Environmental,"Distance, tree density, tree diameter, % deciduous trees",Park failure,Effect on Bird,542,NA,,NA,0.05,NA,NA,0.13,NA,Pooled,Parameter estimate (B),Pooled
"Halfwerk W, Holleman LJM, Lessells CM, Slabbekoorn H. 2011. Journal of Applied Ecology",Mixed woodland near motorway,Woodland,Mixed,Great tit (Parus major),Tit,Reproduction,2000,9000,NA,NA,NA,NA,Environmental,"Distance, tree density, tree diameter, % deciduous trees",Visitation rate (Cat model),Effect on Bird,542,NA,,NA,0.059,NA,NA,0.14,NA,Pooled,Parameter estimate (B),Pooled
"Halfwerk W, Holleman LJM, Lessells CM, Slabbekoorn H. 2011. Journal of Applied Ecology",Mixed woodland near motorway,Woodland,Mixed,Great tit (Parus major),Tit,Reproduction,2000,9000,NA,NA,NA,NA,Environmental,"Distance, tree density, tree diameter, % deciduous trees",Time until first visit (Cat model),Effect on Bird,215,NA,,NA,1.8,NA,NA,0.39,NA,Pooled,Parameter estimate (B),Pooled
"Halfwerk W, Holleman LJM, Lessells CM, Slabbekoorn H. 2011. Journal of Applied Ecology",Mixed woodland near motorway,Woodland,Mixed,Great tit (Parus major),Tit,Reproduction,2000,9000,NA,NA,NA,NA,Environmental,"Distance, tree density, tree diameter, % deciduous trees",Visitation rate (Novel object),Effect on Bird,215,NA,,NA,2.48,NA,NA,0.61,NA,Pooled,Parameter estimate (B),Pooled
"Yelimlies A, Atalas B, Önsal Ç, Akçay Ç. 2023. Ibis",Urban vs. rural,Urban to rural gradient,Mixed,Common Chaffinch (Fringilla coelebs),Chaffinch,Communication,NA,NA,NA,NA,NA,Not standardized,Noise,Ambient noise level (dB),E2: Min. Frequency,Environment,2,500.09,1900,NA,222.5,NA,NA,0.09,NA,Pooled,LMM Coefficient,Pooled
"Yelimlies A, Atalas B, Önsal Ç, Akçay Ç. 2023. Ibis",Urban vs. rural,Urban to rural gradient,Mixed,Common Chaffinch (Fringilla coelebs),Chaffinch,Communication,NA,NA,NA,NA,NA,Not standardized,Noise,Ambient noise level (dB),E2: Max. Frequency,Environment,13,404.183,,NA,189.52,NA,NA,0.08,NA,Pooled,LMM Coefficient,Pooled
Redondo I et al. 2021. Eur J Wildl Res 67:68,Urban vs. rural,Urban to rural gradient,Mixed,Tree sparrow (Passer montanus),Sparrow,Physiology,NA,NA,NA,NA,NA,Nest boxes,Noise,Air pollution,E2: Duration,Environment,15,NA,,NA,7.4,NA,NA,,NA,Pooled,Estimate,Pooled
Redondo I et al. 2021. Eur J Wildl Res 67:68,Urban vs. rural,Urban to rural gradient,Mixed,Tree sparrow (Passer montanus),Sparrow,Physiology,NA,NA,NA,NA,NA,Nest boxes,Noise,Air pollution,Peak frequency of call type 1,Environment,17,NA,,NA,7.55,NA,NA,,NA,Pooled,Estimate,Pooled
"Howerin HM, Foltz SL. 2023. Northeastern Naturalist","Farmland, suburban park, suburban residential, campus",Farmland,Mixed,Eastern Bluebird (Sialia sialis),Bluebird,Reproduction,NA,NA,NA,NA,NA,Nest boxes monitored across sites,Noise,"Canopy cover, human activity, noise, ALAN",Habitat occupancy,Noise,115,0.04,NA,NA,NA,-0.014,0.093,NA,NA,Pooled,Model Estimate,Pooled
"Howerin HM, Foltz SL. 2023. Northeastern Naturalist","Farmland, suburban park, suburban residential, campus",Farmland,Mixed,Tree Swallow (Tachycineta bicolor),Swallow,Reproduction,NA,NA,NA,NA,NA,Nest boxes monitored across sites,Noise,"Canopy cover, human activity, noise, ALAN",Habitat occupancy,Noise,115,-0.014,NA,NA,NA,-0.085,0.057,NA,NA,Pooled,Model Estimate,Pooled
"Howerin HM, Foltz SL. 2023. Northeastern Naturalist","Farmland, suburban park, suburban residential, campus",Farmland,Mixed,Eastern Bluebird (Sialia sialis),Bluebird,Reproduction,NA,NA,NA,NA,NA,Nest boxes monitored across sites,Noise,"Canopy cover, human activity, noise, ALAN",Habitat occupancy,Noise,86,0.025,NA,NA,NA,-0.078,0.13,NA,NA,Pooled,Model Estimate,Pooled
"Howerin HM, Foltz SL. 2023. Northeastern Naturalist","Farmland, suburban park, suburban residential, campus",Farmland,Mixed,Tree Swallow (Tachycineta bicolor),Swallow,Reproduction,NA,NA,NA,NA,NA,Nest boxes monitored across sites,Noise,"Canopy cover, human activity, noise, ALAN",Habitat occupancy,Noise,79,-0.064,NA,NA,NA,-0.247,0.119,NA,NA,Pooled,Model Estimate,Pooled
